,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,orientador_nome,orientador_país,avaliador1_filiação,orientador_keyword_1,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador3_filiação,avaliador4_filiação,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador1_keyword_5,avaliador1_keyword_6,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5
43,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/898838?guid=1652475572409&returnUrl=%2fresultado%2flistar%3fguid%3d1652475572409%26quantidadePaginas%3d1%26codigoRegistro%3d898838%23898838&i=1,orcid.org/0000-0002-1180-2637,sem orcid,sem orcid,sem orcid,orcid.org/0000-0001-6305-9059,UNICAMP - University of Campinas,43,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,Edmundo Madeira,no info,sem orcid,,,,,,,,,,,,,,sem orcid,Universidade Estadual de Campinas,Luiz Fernando Bittencourt,no info,sem orcid,sem orcid,,,,,,,,,,,,,,
44,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/896641?guid=1652475612682&returnUrl=%2fresultado%2flistar%3fguid%3d1652475612682%26quantidadePaginas%3d1%26codigoRegistro%3d896641%23896641&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0003-4290-6508,orcid.org/0000-0002-1756-4852,sem orcid,sem orcid,Universidade Estadual de Campinas,44,Universidade Estadual de Campinas,Eliane Martins,no info,André Santanchè,no info,,Maria Cecilia Calani Baranauskas,Brazil,no info,HCI,,,,,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,
45,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/896588?guid=1652475651921&returnUrl=%2fresultado%2flistar%3fguid%3d1652475651921%26quantidadePaginas%3d1%26codigoRegistro%3d896588%23896588&i=1,orcid.org/0000-0001-7878-4990,orcid.org/0000-0002-6393-0876,sem orcid,orcid.org/0000-0001-8002-7075,orcid.org/0000-0003-3333-6822,State University of Campinas,45,sem orcid,Celina Miraglia Herrera de Figueiredo,Brazil,sem orcid,sem orcid,,Joao Meidanis,no info,no info,,,,,,,,,,,,,,Universidade Estadual de Campinas,University of Campinas,Zanoni Dias,Brazil,João Frederico da C. A. Meyer,Brazil,,,,,,,,,,Mathematical Ecology,Biomathematics,Mathematical Modelling,Numerical Analysis,
46,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/902322?guid=1652475683215&returnUrl=%2fresultado%2flistar%3fguid%3d1652475683215%26quantidadePaginas%3d1%26codigoRegistro%3d902322%23902322&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-0125-630X,sem orcid,sem orcid,no info,46,University of Campinas,Anderson Rocha,Brazil,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,Siome Goldenstein,no info,Universidade Estadual de Campinas,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,,,,,,,,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,
47,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/897108?guid=1652475721793&returnUrl=%2fresultado%2flistar%3fguid%3d1652475721793%26quantidadePaginas%3d1%26codigoRegistro%3d897108%23897108&i=1,sem orcid,orcid.org/0000-0002-4059-8700,orcid.org/0000-0002-6560-6965,orcid.org/0000-0001-6112-892X,orcid.org/0000-0002-1180-2637,sem orcid,47,Instituto Eldorado,Vânia Paula de Almeida Neris,no info,Eduardo Hideki Tanaka,Brazil,,sem orcid,sem orcid,Federal University of São Carlos,,,,,,,,,,,,,,Universidade Estadual de Campinas,UNICAMP - University of Campinas,Edmundo Madeira,no info,Celmar Guimarães da Silva,Brazil,,,,,,,,,,Information Visualization; Human-Computer Interaction,,,,
48,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/897591?guid=1652475768035&returnUrl=%2fresultado%2flistar%3fguid%3d1652475768035%26quantidadePaginas%3d1%26codigoRegistro%3d897591%23897591&i=1,sem orcid,orcid.org/0000-0001-8309-6367,sem orcid,orcid.org/0000-0002-6560-6965,sem orcid,sem orcid,48,sem orcid,Ariadne Carvalho,no info,sem orcid,sem orcid,,sem orcid,sem orcid,Universidade Estadual de Campinas,,,,,,,,,,,,,,Instituto Eldorado,sem orcid,sem orcid,sem orcid,Eduardo Hideki Tanaka,Brazil,,,,,,,,,,,,,,
49,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/903072?guid=1652475800205&returnUrl=%2fresultado%2flistar%3fguid%3d1652475800205%26quantidadePaginas%3d1%26codigoRegistro%3d903072%23903072&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-4929-7258,orcid.org/0000-0002-2075-3363,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-5685-8004,Universidade Estadual de Campinas,49,Universidade Federal de Minas Gerais,Agma Traina,no info,Marcos André Gonçalves,no info,,Ricardo Torres,Netherlands,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,multimedia retrieval,,,,,,,,,multimedia classification,machine learning,information visualization,data science,University of Campinas,no info,Siome Goldenstein,no info,Helio Pedrini,Brazil,,,,,,,,,,image and video processing; machine learning; computer vision,,,,
50,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/904617?guid=1652475835679&returnUrl=%2fresultado%2flistar%3fguid%3d1652475835679%26quantidadePaginas%3d1%26codigoRegistro%3d904617%23904617&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0003-2608-4807,orcid.org/0000-0002-6471-4710,orcid.org/0000-0002-3897-3356,sem orcid,no info,50,Universidade Estadual de Campinas,Guilherme P. Telles,Brazil,Aurelio Oliveira,no info,,Siome Goldenstein,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,Federal University of Rio de Janeiro,sem orcid,sem orcid,sem orcid,Nelson Maculan,no info,,,,,,,,,,,,,,
51,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/903638?guid=1652475873272&returnUrl=%2fresultado%2flistar%3fguid%3d1652475873272%26quantidadePaginas%3d1%26codigoRegistro%3d903638%23903638&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0001-8309-6367,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0003-4262-5474,Universidade Estadual de Campinas Instituto de Computação,51,Universidade Estadual de Campinas,Ariadne Carvalho,no info,André Santanchè,no info,,Claudia Medeiros,Brazil,Universidade Estadual de Campinas,Scientific data management,,,,,,,,, Data interoperability, Open Science,,,sem orcid,Universidade Federal de Santa Catarina,RONALDO DOS SANTOS MELLO,no info,sem orcid,sem orcid,,,,,,,,,,,,,,
52,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/904607?guid=1652475906311&returnUrl=%2fresultado%2flistar%3fguid%3d1652475906311%26quantidadePaginas%3d1%26codigoRegistro%3d904607%23904607&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0001-5103-8541,sem orcid,orcid.org/0000-0003-2608-4807,sem orcid,no info,52,sem orcid,Marco Vieira,Portugal,sem orcid,sem orcid,,Eliane Martins,no info,University of Coimbra,,Dependability, Security, Software Engineering, Web Services,,,,,,,,,Universidade Estadual de Campinas,sem orcid,sem orcid,sem orcid,Guilherme P. Telles,Brazil, Databases,,,,,,,,,,,,,
53,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/901718?guid=1652475960724&returnUrl=%2fresultado%2flistar%3fguid%3d1652475960724%26quantidadePaginas%3d1%26codigoRegistro%3d901718%23901718&i=2,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-5426-7083,orcid.org/0000-0002-6494-7514,orcid.org/0000-0002-0108-7246,orcid.org/0000-0001-5201-1244,Universidade Estadual de Campinas,53,no info,Milton Shoiti Misuta,no info,João Paulo Papa,no info,machine learning,Anderson Rocha,Brazil,Universidade Estadual de Campinas,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,, image processing, computervision, meta-heuristics,,,,,,State University of Londrina ,no info,Jacques Wainer,Brazil,Felipe Moura,no info,,,,,,,,,,,,,,
54,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/907208?guid=1652476078609&returnUrl=%2fresultado%2flistar%3fguid%3d1652476078609%26quantidadePaginas%3d1%26codigoRegistro%3d907208%23907208&i=5,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0003-3441-0887,orcid.org/0000-0001-8309-6367,sem orcid,Universidade Estadual de Campinas,54,Centro de Tecnologia da Informação Renato Archer,sem orcid,sem orcid,Rodrigo Bonacin,no info,,Maria Cecilia Calani Baranauskas,Brazil,sem orcid,HCI,,,,,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,Universidade Estadual de Campinas,sem orcid,sem orcid,sem orcid,Ariadne Carvalho,no info,,,,,,,,,,,,,,
