,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,row_idx,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_filiação,orientador_nome,orientador_país,orientador_filiação,avaliador2_filiação,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador4_filiação,avaliador6_filiação,avaliador5_filiação,avaliador5_nome,avaliador5_país,avaliador3_filiação,avaliador6_nome,avaliador6_país,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador2_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador2_keyword_9,avaliador2_keyword_10,avaliador2_keyword_11,avaliador2_keyword_12,avaliador2_keyword_13,avaliador1_keyword_5,avaliador1_keyword_6,avaliador1_keyword_7,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador6_keyword_1,avaliador6_keyword_2,avaliador6_keyword_3,avaliador6_keyword_4,avaliador6_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador3_keyword_4
39,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/991617?guid=1652566079522&returnUrl=%2fresultado%2flistar%3fguid%3d1652566079522%26quantidadePaginas%3d1%26codigoRegistro%3d991617%23991617&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-1180-2637,,,,,Edmundo Madeira,no info,,,,,39,sem orcid,sem orcid,,sem orcid,Nelson L. S. da Fonseca,no info,Universidade Estadual de Campinas,UNICAMP - University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/981754?guid=1652566104375&returnUrl=%2fresultado%2flistar%3fguid%3d1652566104375%26quantidadePaginas%3d1%26codigoRegistro%3d981754%23981754&i=2,orcid.org/0000-0002-3159-4839,sem orcid,orcid.org/0000-0003-2277-4632,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-3152-4523,,,Rodrigo Minetto,no info,,,,,40,sem orcid,sem orcid,,sem orcid,Jorge Stolfi,no info,State University of Campinas,no info,,,,,,,,,University of Campinas,,,,,University of Campinas,,,Helio Pedrini,Brazil,Shin-Ting Wu,no info,,,,,,,,,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,
41,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/986670?guid=1652566163698&returnUrl=%2fresultado%2flistar%3fguid%3d1652566163698%26quantidadePaginas%3d1%26codigoRegistro%3d986670%23986670&i=3,orcid.org/0000-0003-0750-0502,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,orcid.org/0000-0001-9772-263X,sem orcid,sem orcid,,,,,41,sem orcid,sem orcid,,sem orcid,Alexandru Cristian Telea,no info,no info,sem orcid,,,,,,,,,sem orcid,Universidade Estadual de Campinas,sem orcid,sem orcid,sem orcid,sem orcid,Ricardo Torres,Netherlands,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,
42,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/984684?guid=1652566199323&returnUrl=%2fresultado%2flistar%3fguid%3d1652566199323%26quantidadePaginas%3d1%26codigoRegistro%3d984684%23984684&i=2,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0003-3441-0887,orcid.org/0000-0003-1908-4753,orcid.org/0000-0001-9772-263X,,,Rodrigo Bonacin,no info,,,,,42,sem orcid,sem orcid,,sem orcid,Maria Cecilia Calani Baranauskas,Brazil,Universidade Estadual de Campinas,Centro de Tecnologia da Informação Renato Archer,,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,Universidade Estadual de Campinas,,,,,Universidade Estadual de Campinas Instituto de Computação,,,Claudia Medeiros,Brazil,Ricardo Torres,Netherlands,,,,,,,,,,,,,Scientific data management, Data interoperability, Open Science,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,
43,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/984605?guid=1652566237627&returnUrl=%2fresultado%2flistar%3fguid%3d1652566237627%26quantidadePaginas%3d1%26codigoRegistro%3d984605%23984605&i=1,orcid.org/0000-0002-3823-8941,sem orcid,sem orcid,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-6023-5982,,,sem orcid,sem orcid,,,,,43,sem orcid,sem orcid,,sem orcid,Luiz Eduardo Buzato,Brazil,University of Campinas,sem orcid,,,,distributed systems,distributed algorithms,fault tolerance,,,University of Campinas,,,,,UNICAMP - University of Campinas,,,Edmundo Madeira,no info,Islene Calciolari Garcia,no info,,,,,,,,,,,,,,,,,,,,,,,,,,
44,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/983576?guid=1652566278575&returnUrl=%2fresultado%2flistar%3fguid%3d1652566278575%26quantidadePaginas%3d1%26codigoRegistro%3d983576%23983576&i=1,orcid.org/0000-0002-6731-1482,sem orcid,orcid.org/0000-0001-5227-7165,orcid.org/0000-0002-7002-875X,orcid.org/0000-0001-9241-2229,,,Marcos Simplicio,Brazil,,,,,44,sem orcid,sem orcid,,sem orcid,Julio Cesar Lopez Hernandez,Mexico,no info,Universidade de São Paulo,,,,,,,,,University of Campinas,,,,,University of Campinas,,,Ricardo Dahab,Brazil,Marco A. Amaral Henriques,no info,,,,,,,,,,,,,Cryptography, Graph Theory,,,,,,,,,,,,
45,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/987504?guid=1652566312160&returnUrl=%2fresultado%2flistar%3fguid%3d1652566312160%26quantidadePaginas%3d1%26codigoRegistro%3d987504%23987504&i=4,orcid.org/0000-0003-2608-4807,sem orcid,orcid.org/0000-0002-0349-7441,sem orcid,orcid.org/0000-0003-1001-082X,,,Said Sadique Adi,no info,,,,,45,sem orcid,sem orcid,,sem orcid,Guilherme P. Telles,Brazil,Universidade Estadual de Campinas,no info,,,,,,,,,University of Campinas,,,,,sem orcid,,,sem orcid,sem orcid,Lehilton Pedrosa,no info,,,,,,,,,,,,,,,,,,,,,,,,,,
46,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/986056?guid=1652566347261&returnUrl=%2fresultado%2flistar%3fguid%3d1652566347261%26quantidadePaginas%3d1%26codigoRegistro%3d986056%23986056&i=2,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0002-4231-9621,sem orcid,orcid.org/0000-0002-4531-1473,,,Claudia Maria Lima Werner,no info,,,,,46,sem orcid,sem orcid,,sem orcid,Cecilia Mary Fischer Rubira Rubira,no info,no info,Federal University of Rio de Janeiro,,,,,,,,,Universidade Estadual de Campinas,,,,,sem orcid,,,sem orcid,sem orcid,Breno Bernard Nicolau de França,Brazil,,,,,,,,,,,,,,,,,,,,,Empirical Software Engineering,Continuous Software Engineering,Software Architecture,,,
47,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/987173?guid=1652566377947&returnUrl=%2fresultado%2flistar%3fguid%3d1652566377947%26quantidadePaginas%3d1%26codigoRegistro%3d987173%23987173&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0003-4036-8064,orcid.org/0000-0001-5944-8246,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-2608-4807,,,Ricardo Ciferri,no info,,,,,47,Ana Carolina Salgado,Brazil,,Universidade Federal de Pernambuco,Claudia Medeiros,Brazil,Universidade Estadual de Campinas Instituto de Computação,no info,,,,Scientific data management, Data interoperability, Open Science,,,Universidade Estadual de Campinas,,,,,Universidade Estadual de Campinas,,,André Santanchè,no info,Guilherme P. Telles,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,
48,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/989942?guid=1652566414804&returnUrl=%2fresultado%2flistar%3fguid%3d1652566414804%26quantidadePaginas%3d1%26codigoRegistro%3d989942%23989942&i=2,orcid.org/0000-0001-5685-8004,orcid.org/0000-0002-6317-218X,sem orcid,orcid.org/0000-0002-5243-0921,orcid.org/0000-0003-0125-630X,,,sem orcid,sem orcid,,,,,48,Flavio de Barros Vidal,no info,,University of Brasilia,Siome Goldenstein,no info,no info,sem orcid,,,,,,,,,University of Campinas,,,,,no info,,,Fernanda Andaló,no info,Helio Pedrini,Brazil,,,,,,,,,,,,,,,,,,,,,image and video processing; machine learning; computer vision,,,,,
49,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/987776?guid=1652566446874&returnUrl=%2fresultado%2flistar%3fguid%3d1652566446874%26quantidadePaginas%3d1%26codigoRegistro%3d987776%23987776&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-9460-8847,orcid.org/0000-0001-8522-2056,orcid.org/0000-0002-1756-4852,orcid.org/0000-0001-5426-7083,,,Silvio GUIMARAES,Brazil,,,,,49,"SANTIAGO, P. R. P.",Brazil,Biomechanics,Universidade de São Paulo,Ricardo Torres,Netherlands,Universidade Estadual de Campinas,Pontifícia Universidade Católica de Minas Gerais,Sports,Physical Education,Computer engineering,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,Universidade Estadual de Campinas,,,,,Universidade Estadual de Campinas,,,André Santanchè,no info,Milton Shoiti Misuta,no info,,,,,,,,,,Kinematics of human movement,Motion Capture,Machine Learning,,,,,,,,,,,,,,
50,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/990921?guid=1652566487403&returnUrl=%2fresultado%2flistar%3fguid%3d1652566487403%26quantidadePaginas%3d1%26codigoRegistro%3d990921%23990921&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-8824-3055,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-9539-6874,orcid.org/0000-0003-1140-4513,,,Fernando Magno Quintão Pereira,Brazil,Compilers, Programming Languages,,,50,Alexandro Baldassin,Brazil,Computer architecture,"Universidade Estadual Paulista, Instituto de Geociências e Ciências Exatas",Guido Araujo,no info,Universidade Estadual de Campinas,Universidade Federal de Minas Gerais,Parallel Programming,Transactional Memory,Persistent Memory,,,,,,no info,,,,,Universidade Estadual de Campinas,,,Sandro Rigo,Brazil,Marcio M. Pereira,Brazil,,,,,,,,,,,,,Computer Architecture,Compilers,Code Optimization,,,,,,,,,,,High-Performance Computing
51,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/989599?guid=1652566523625&returnUrl=%2fresultado%2flistar%3fguid%3d1652566523625%26quantidadePaginas%3d1%26codigoRegistro%3d989599%23989599&i=3,orcid.org/0000-0001-6030-2682,sem orcid,orcid.org/0000-0002-5259-2859,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-0472-4810,,,Cristina G. Fernandes,no info,approximation algorithms,,,,51,sem orcid,sem orcid,,sem orcid,Eduardo C. Xavier,Brazil,University of Campinas,University of Sao Paulo,,,,,,,,,Universidade Estadual de Campinas,,,,,no info,,,Flávio K. Miyazawa,no info,Rafael C. S. Schouery,no info,,,,,,,,,,,,,,,,,,,,,,,,,,
52,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/990267?guid=1652566555354&returnUrl=%2fresultado%2flistar%3fguid%3d1652566555354%26quantidadePaginas%3d1%26codigoRegistro%3d990267%23990267&i=1,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-2283-1123,sem orcid,orcid.org/0000-0002-4329-6214,orcid.org/0000-0002-9545-2098,,,sem orcid,sem orcid,,,,,52,"Saraiva, A.M.",no info,planetary health,Universidade de São Paulo,André Santanchè,no info,Universidade Estadual de Campinas,sem orcid,Biodiversity Informatics,Digital Agriculture,Climate change,,,,,,Universidade Estadual de Campinas (UNICAMP),,,,,Universidade Estadual de Campinas,,,Flavio Santos,no info,Julio Cesar Dos Reis,no info,,,,,,,,,,,,,,,,,,,,,,,,,,
53,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/991387?guid=1652566599126&returnUrl=%2fresultado%2flistar%3fguid%3d1652566599126%26quantidadePaginas%3d1%26codigoRegistro%3d991387%23991387&i=2,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-3087-9234,sem orcid,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-3372-3366,,,sem orcid,sem orcid,,,,,53,Carlos Kamienski,Brazil,,Universidade Federal do ABC,Edmundo Madeira,no info,UNICAMP - University of Campinas,sem orcid,,,,,,,,,Universidade Estadual de Campinas,,,,,University of Campinas,,,Islene Calciolari Garcia,no info,Leandro Villas,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,
54,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1045278?guid=1652566637103&returnUrl=%2fresultado%2flistar%3fguid%3d1652566637103%26quantidadePaginas%3d1%26codigoRegistro%3d1045278%231045278&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0001-6503-8016,orcid.org/0000-0003-1929-9391,orcid.org/0000-0002-1756-4852,orcid.org/0000-0001-8309-6367,,,Leonardo Cunha de Miranda,Brazil,,,,,54,Lara Piccolo,United Kingdom,Community engagement,The Open University,Maria Cecilia Calani Baranauskas,Brazil,Universidade Estadual de Campinas,no info,Technology for social change,Socially-aware computing,Human-computer interaction,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,Universidade Estadual de Campinas,,,,,Universidade Estadual de Campinas,,,André Santanchè,no info,Ariadne Carvalho,no info,,,,,,,,,,,,,,,,,,,,,,,,,,
55,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/991785?guid=1652566669444&returnUrl=%2fresultado%2flistar%3fguid%3d1652566669444%26quantidadePaginas%3d1%26codigoRegistro%3d991785%23991785&i=1,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-4177-1322,sem orcid,orcid.org/0000-0003-4832-9318,orcid.org/0000-0001-8309-6367,,,sem orcid,sem orcid,,,,,55,Debora Drucker,Brazil,,Embrapa Agricultura Digital,André Santanchè,no info,Universidade Estadual de Campinas,sem orcid,,,,,,,,,Universidade Estadual de Campinas,,,,,Universidade Estadual de Campinas,,,Ivan Luiz Marques Ricarte,Brazil,Ariadne Carvalho,no info,,,,,,,,,,,,,,,,,,,,,,,,,,
56,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/993696?guid=1652566707899&returnUrl=%2fresultado%2flistar%3fguid%3d1652566707899%26quantidadePaginas%3d1%26codigoRegistro%3d993696%23993696&i=3,orcid.org/0000-0002-7002-875X,sem orcid,sem orcid,orcid.org/0000-0002-4531-1473,orcid.org/0000-0002-2457-0783,,,sem orcid,sem orcid,,,,,56,sem orcid,sem orcid,,sem orcid,Ricardo Dahab,Brazil,University of Campinas,sem orcid,,,,Cryptography, Graph Theory,,,,Aarhus University,,,,,Universidade Estadual de Campinas,,,Breno Bernard Nicolau de França,Brazil,Diego F. Aranha,Denmark,,,,,,,,,,,,,Empirical Software Engineering,Continuous Software Engineering,Software Architecture,,,,,,Cryptography, Computer Security,,,,
