,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador1_filiação,avaliador2_filiação,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_nome,avaliador2_país,avaliador1_nome,avaliador1_país,orientador_keyword_5,avaliador2_keyword_1,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador4_nome,avaliador4_país,avaliador4_filiação,avaliador3_filiação,avaliador3_nome,avaliador3_país,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_2,avaliador2_keyword_3,avaliador1_keyword_6,avaliador2_keyword_4,avaliador2_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador2_keyword_9,avaliador2_keyword_10,avaliador2_keyword_11,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4
44,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/947704?guid=1652549699148&returnUrl=%2fresultado%2flistar%3fguid%3d1652549699148%26quantidadePaginas%3d1%26codigoRegistro%3d947704%23947704&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-6560-6965,orcid.org/0000-0003-3233-0314,UNICAMP,44,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Rodolfo Azevedo,Brazil,,,,,Maria Cecilia Calani Baranauskas,Brazil,André Santanchè,no info,,HCI,,,,Joice Lee Otsuka,Brazil,Federal University of São Carlos,Instituto Eldorado,Eduardo Hideki Tanaka,Brazil,,,Socially Aware Design,Organizational Semiotics,,Participatory Design,,,,,,,,educational game,accessibility,inclusive design,serious game,,,,
45,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/949473?guid=1652549752057&returnUrl=%2fresultado%2flistar%3fguid%3d1652549752057%26quantidadePaginas%3d1%26codigoRegistro%3d949473%23949473&i=3,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-6790-5184,orcid.org/0000-0001-8824-3055,orcid.org/0000-0002-9992-8540,orcid.org/0000-0002-9539-6874,Universidade Estadual de Campinas,45,Universidade Federal de Pelotas,"Universidade Estadual Paulista, Instituto de Geociências e Ciências Exatas",Guido Araujo,no info,,,,,Alexandro Baldassin,Brazil,Andre Rauber Du Bois,no info,,Computer architecture,,,,Sandro Rigo,Brazil,Universidade Estadual de Campinas,Inria Centre de Recherche Grenoble Rhone-Alpes,Márcio Castro,Brazil,,,Parallel Programming,Transactional Memory,,Persistent Memory,,,,,,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,Parallel and Distributed Computing,High Performance Computing,Parallel Architectures,Parallel Programming Languages
46,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/953970?guid=1652549814463&returnUrl=%2fresultado%2flistar%3fguid%3d1652549814463%26quantidadePaginas%3d1%26codigoRegistro%3d953970%23953970&i=5,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-6831-2006,orcid.org/0000-0002-9598-5732,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-1649-6843,no info,46,Universidade Federal de Minas Gerais,no info,Flávio K. Miyazawa,no info,,,,,Luciana Buriol,no info,Thiago Noronha,Brazil,,,,,,Kelly Poldi,no info,Universidade Federal de São Paulo,Universidade Estadual de Campinas,Cid de Souza,Brazil,,,,,,,,,,,,,,,,,,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research
47,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/950550?guid=1652549887272&returnUrl=%2fresultado%2flistar%3fguid%3d1652549887272%26quantidadePaginas%3d1%26codigoRegistro%3d950550%23950550&i=1,orcid.org/0000-0003-4462-3325,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-0472-4810,sem orcid,orcid.org/0000-0002-5259-2859,University of Campinas,47,University of Campinas,Universidade Estadual de Campinas,Orlando Lee,no info,,,,,Rafael C. S. Schouery,no info,Eduardo C. Xavier,Brazil,,,,,,Cristina G. Fernandes,no info,University of Sao Paulo,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,approximation algorithms,,,,,,,
48,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/950571?guid=1652549938998&returnUrl=%2fresultado%2flistar%3fguid%3d1652549938998%26quantidadePaginas%3d1%26codigoRegistro%3d950571%23950571&i=2,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-7789-3359,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-6972-6913,Universidade Estadual de Campinas,48,Universidade Federal do Rio de Janeiro,UNICAMP - University of Campinas,Nelson L. S. da Fonseca,no info,,,,,Edmundo Madeira,no info,Luís Henrique M. K. Costa,no info,,,,,,Joaquim F. Martins Filho,Brazil,Federal University of Pernambuco,State University of Campinas,Fábio Usberti,no info,,,,,,,,,,,,,,Optical Networks,Optical Sensors,Photonics,Optical Communications,,,,
49,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/953620?guid=1652549995518&returnUrl=%2fresultado%2flistar%3fguid%3d1652549995518%26quantidadePaginas%3d1%26codigoRegistro%3d953620%23953620&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-7959-6569,sem orcid,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-6305-9059,Universidade Estadual de Campinas,49,Universidade Federal Fluminense,sem orcid,Nelson L. S. da Fonseca,no info,,,,,sem orcid,sem orcid,Célio Albuquerque,Brazil,,,,,,Luiz Fernando Bittencourt,no info,Universidade Estadual de Campinas,UNICAMP - University of Campinas,Edmundo Madeira,no info,,,,,,,,,,,,,,,,,,,,,
50,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/959720?guid=1652550034901&returnUrl=%2fresultado%2flistar%3fguid%3d1652550034901%26quantidadePaginas%3d1%26codigoRegistro%3d959720%23959720&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-6494-7514,sem orcid,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-9707-799X,University of Campinas,50,no info,sem orcid,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,sem orcid,sem orcid,João Paulo Papa,no info,,,machine learning, image processing, computervision,José Mario De Martino,no info,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas,Anderson Rocha,Brazil, meta-heuristics,,,,,,,,,,,,,,,,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,
51,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/962177?guid=1652550079366&returnUrl=%2fresultado%2flistar%3fguid%3d1652550079366%26quantidadePaginas%3d1%26codigoRegistro%3d962177%23962177&i=12,orcid.org/0000-0002-6540-8686,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-2457-0783,orcid.org/0000-0003-2592-3664,sem orcid,University of Campinas,51,UNICAMP - University of Campinas,Aarhus University,Paulo de Geus,Brazil,Computer Security,,,,Diego F. Aranha,Denmark,Edmundo Madeira,no info,,Cryptography,,,,sem orcid,sem orcid,sem orcid,Universidade Tecnológica Federal do Paraná,Carlos Maziero,Brazil,,, Computer Security,,,,,,,,,,,,,,,Operating Systems,Computer Security,Distributed Systems,
52,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/961083?guid=1652550146732&returnUrl=%2fresultado%2flistar%3fguid%3d1652550146732%26quantidadePaginas%3d1%26codigoRegistro%3d961083%23961083&i=4,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-5015-2131,orcid.org/0000-0001-8522-2056,orcid.org/0000-0002-8514-8033,Universidade Estadual de Campinas,52,University of Campinas,no info,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,Neucimar Leite,no info,Helio Pedrini,Brazil,,,image and video processing; machine learning; computer vision,,,Luis Nonato,no info,Universidade de São Paulo,Pontifícia Universidade Católica de Minas Gerais,Silvio GUIMARAES,Brazil,,,,,,,,,,,,,,,,,,,,,
53,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/959756?guid=1652550191711&returnUrl=%2fresultado%2flistar%3fguid%3d1652550191711%26quantidadePaginas%3d1%26codigoRegistro%3d959756%23959756&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0002-8229-3139,orcid.org/0000-0001-6030-2682,orcid.org/0000-0003-2608-4807,University of Campinas,53,University of Brasilia,Universidade de São Paulo,Zanoni Dias,Brazil,,,,,Yoshiko Wakabayashi,Brazil,Maria Emilia Walter,Brazil,,,bioinformatics, non-coding RNAs, genomics,Guilherme P. Telles,Brazil,Universidade Estadual de Campinas,University of Campinas,Eduardo C. Xavier,Brazil, transcriptomics, genome rearrangements,,,,,,,,,,,,,,,,,,,
54,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/959789?guid=1652550258045&returnUrl=%2fresultado%2flistar%3fguid%3d1652550258045%26quantidadePaginas%3d1%26codigoRegistro%3d959789%23959789&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-8956-8660,orcid.org/0000-0002-5455-8910,orcid.org/0000-0002-6023-5982,orcid.org/0000-0003-3109-4305,UNICAMP - University of Campinas,54,Federal University of Rio Grande do Sul,Federal University of São Carlos,Edmundo Madeira,no info,,,,,Fabio Verdi,Brazil,Lisandro Zambenedetti Granville,Brazil,,Computer Networks,,,,Christian Esteve Rothenberg,no info,Universidade Estadual de Campinas (UNICAMP),University of Campinas,Islene Calciolari Garcia,no info,,, SDN, Cloud computing,, monitoring, management, virtualizatoin,,,,,,,,,,,,,
55,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/960309?guid=1652550333699&returnUrl=%2fresultado%2flistar%3fguid%3d1652550333699%26quantidadePaginas%3d1%26codigoRegistro%3d960309%23960309&i=1,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-5564-698X,sem orcid,Universidade Estadual de Campinas,55,sem orcid,Universidade Estadual de Campinas,André Santanchè,no info,,,,,Ricardo Torres,Netherlands,sem orcid,sem orcid,,multimedia retrieval,,,,sem orcid,sem orcid,sem orcid,University of Campinas,Lucas Wanner,no info,,,multimedia classification,machine learning,,information visualization,data science,,,,,,,,,,,,,,
56,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/961153?guid=1652550365453&returnUrl=%2fresultado%2flistar%3fguid%3d1652550365453%26quantidadePaginas%3d1%26codigoRegistro%3d961153%23961153&i=2,orcid.org/0000-0003-4290-6508,orcid.org/0000-0001-5103-8541,orcid.org/0000-0002-0796-3868,orcid.org/0000-0003-4549-7105,orcid.org/0000-0002-1914-5790,no info,56,University of Coimbra,Instituto Nacional de Pesquisas Espaciais,Eliane Martins,no info,,,,,Fátima Mattiello-Francisco,Brazil,Marco Vieira,Portugal,,Space engineering,Dependability, Security, Software Engineering,Mario Jino,no info,no info,no info,Cecilia Mary Fischer Rubira Rubira,no info, Web Services, Databases, Verification and Validation,  operation concept,,,,,,,,,,,,,,,,,
57,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/966453?guid=1652550401038&returnUrl=%2fresultado%2flistar%3fguid%3d1652550401038%26quantidadePaginas%3d1%26codigoRegistro%3d966453%23966453&i=3,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0001-8824-3055,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-5564-698X,UNICAMP,57,sem orcid,"Universidade Estadual Paulista, Instituto de Geociências e Ciências Exatas",Rodolfo Azevedo,Brazil,,,,,Alexandro Baldassin,Brazil,sem orcid,sem orcid,,Computer architecture,,,,Lucas Wanner,no info,University of Campinas,Universidade Estadual de Campinas,Guido Araujo,no info,,,Parallel Programming,Transactional Memory,,Persistent Memory,,,,,,,,,,,,,,,
58,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/962753?guid=1652550435356&returnUrl=%2fresultado%2flistar%3fguid%3d1652550435356%26quantidadePaginas%3d1%26codigoRegistro%3d962753%23962753&i=3,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0003-1929-9391,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-1347-186X,Universidade Estadual de Campinas,58,sem orcid,no info,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,Leonardo Cunha de Miranda,Brazil,sem orcid,sem orcid,,,,,,Jose Armando Valente,no info,no info,Universidade Estadual de Campinas,André Santanchè,no info,,,,,,,,,,,,,,,,,,,,,
59,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/961780?guid=1652550489042&returnUrl=%2fresultado%2flistar%3fguid%3d1652550489042%26quantidadePaginas%3d1%26codigoRegistro%3d961780%23961780&i=4,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-0189-8540,orcid.org/0000-0002-9707-799X,orcid.org/0000-0003-2059-9463,orcid.org/0000-0001-5015-2131,University of Campinas,59,no info,Universidade Estadual de Campinas (UNICAMP),Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,José Mario De Martino,no info,Alexandre Gonçalves Silva,no info,,,,,,Neucimar Leite,no info,no info,Universidade de São Paulo,Moacir Ponti,no info,,,,,,,,,,,,,,,,,,,,,
60,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/963167?guid=1652550515893&returnUrl=%2fresultado%2flistar%3fguid%3d1652550515893%26quantidadePaginas%3d1%26codigoRegistro%3d963167%23963167&i=2,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0002-6494-7514,orcid.org/0000-0001-8309-6367,orcid.org/0000-0003-0125-630X,Universidade Estadual de Campinas,60,sem orcid,no info,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,João Paulo Papa,no info,sem orcid,sem orcid,data science,machine learning,,,,Helio Pedrini,Brazil,University of Campinas,Universidade Estadual de Campinas,Ariadne Carvalho,no info,,, image processing, computervision,, meta-heuristics,,,,,,,,image and video processing; machine learning; computer vision,,,,,,,
