,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador1_filiação,row_idx,avaliador2_filiação,orientador_filiação,orientador_nome,orientador_país,avaliador2_nome,avaliador2_país,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_keyword_1,avaliador4_filiação,avaliador4_nome,avaliador4_país,avaliador5_filiação,avaliador5_nome,avaliador5_país,avaliador3_nome,avaliador3_país,avaliador3_filiação,avaliador1_keyword_5,avaliador2_keyword_2,avaliador1_keyword_6,avaliador1_keyword_7,avaliador1_keyword_8,avaliador1_keyword_9,avaliador1_keyword_10,avaliador1_keyword_11,avaliador2_keyword_3,avaliador2_keyword_4,orientador_keyword_5,avaliador2_keyword_5,avaliador2_keyword_6,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_1,avaliador4_keyword_2,avaliador3_keyword_5,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1014622?guid=1652797628572&returnUrl=%2fresultado%2flistar%3fguid%3d1652797628572%26quantidadePaginas%3d1%26codigoRegistro%3d1014622%231014622&i=4,orcid.org/0000-0003-4462-3325,sem orcid,sem orcid,orcid.org/0000-0001-6030-2682,orcid.org/0000-0003-1001-082X,,sem orcid,40,sem orcid,University of Campinas,Orlando Lee,no info,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,,University of Campinas,Lehilton Pedrosa,no info,,,,Eduardo C. Xavier,Brazil,University of Campinas,,,,,,,,,,,,,,,,,,,,,,,
41,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1031418?guid=1652797666925&returnUrl=%2fresultado%2flistar%3fguid%3d1652797666925%26quantidadePaginas%3d1%26codigoRegistro%3d1031418%231031418&i=1,orcid.org/0000-0003-4237-4281,sem orcid,sem orcid,sem orcid,orcid.org/0000-0001-7878-4990,,sem orcid,41,sem orcid,University of Campinas,C. N. Campos,Brazil,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,,State University of Campinas,Joao Meidanis,no info,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,
42,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1060175?guid=1652797705772&returnUrl=%2fresultado%2flistar%3fguid%3d1652797705772%26quantidadePaginas%3d1%26codigoRegistro%3d1060175%231060175&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8522-2056,orcid.org/0000-0002-6197-2626,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-0467-3133,,Pontifícia Universidade Católica de Minas Gerais,42,Microsoft Research,University of Campinas,Helio Pedrini,Brazil,T. V. Spina,no info,Silvio GUIMARAES,Brazil,,,,,image and video processing; machine learning; computer vision,,,,,Universidade Estadual de Campinas,Esther Luna Colombini,no info,,,,André Santanchè,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,
43,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1034706?guid=1652797779300&returnUrl=%2fresultado%2flistar%3fguid%3d1652797779300%26quantidadePaginas%3d1%26codigoRegistro%3d1034706%231034706&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-4177-1322,orcid.org/0000-0002-9545-2098,sem orcid,orcid.org/0000-0003-0125-630X,,Embrapa Agricultura Digital,43,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas,Ricardo Torres,Netherlands,Julio Cesar Dos Reis,no info,Debora Drucker,Brazil,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,,University of Campinas,Helio Pedrini,Brazil,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,data science,,,,,,,image and video processing; machine learning; computer vision,,,,,
44,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1058006?guid=1652797827991&returnUrl=%2fresultado%2flistar%3fguid%3d1652797827991%26quantidadePaginas%3d1%26codigoRegistro%3d1058006%231058006&i=22,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-3159-4839,sem orcid,sem orcid,sem orcid,,State University of Campinas,44,sem orcid,University of Campinas,Orlando Lee,no info,sem orcid,sem orcid,Jorge Stolfi,no info,,,,,,,,,,sem orcid,sem orcid,sem orcid,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,
45,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1095473?guid=1652797900909&returnUrl=%2fresultado%2flistar%3fguid%3d1652797900909%26quantidadePaginas%3d1%26codigoRegistro%3d1095473%231095473&i=10,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8253-2729,orcid.org/0000-0003-4861-7061,orcid.org/0000-0002-1941-6036,orcid.org/0000-0002-5652-0852,University of Campinas,45,Universidade Federal de São Carlos (UFSCar),Universidade Estadual de Campinas,Ricardo Torres,Netherlands,"Levada, A L M",Brazil,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,,Universidade Estadual de Campinas,Marco Antonio Garcia de Carvalho,Brazil,Universidade Estadual de Campinas,Roberto Lotufo,no info,Aparecido Nilceu Marana,no info,Universidade Estadual Paulista Júlio de Mesquita Filho,,,,,,,,,,,data science,,,,,,,image segmentation,graphs,,image processing,digital education,pattern recognition
46,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1062749?guid=1652797953657&returnUrl=%2fresultado%2flistar%3fguid%3d1652797953657%26quantidadePaginas%3d1%26codigoRegistro%3d1062749%231062749&i=1,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-8889-1586,orcid.org/0000-0003-2956-6326,orcid.org/0000-0002-9554-1381,orcid.org/0000-0003-0125-630X,,University of Sheffield,46,Universidade Federal de São Paulo,Universidade Estadual de Campinas,André Santanchè,no info,"Faria, Fabio A.",Brazil,Jefersson A. dos Santos,no info,Pattern Recognition, Image Processing, Content-Based Image Retrieval, Remote Sensing,,,,,,University of Campinas,Helio Pedrini,Brazil,,,,Ricardo Machado Leite de Barros,Brazil,State University of Campinas,,,,,,,,,,,,,,Biomecânica,Cinesiologia,Educação Física Desportiva,Biomecânica do Movimento Humano Aplicada aos Esportes,image and video processing; machine learning; computer vision,,,,,
47,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1062910?guid=1652797998851&returnUrl=%2fresultado%2flistar%3fguid%3d1652797998851%26quantidadePaginas%3d1%26codigoRegistro%3d1062910%231062910&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-4861-7061,orcid.org/0000-0002-2739-085X,orcid.org/0000-0001-9068-938X,orcid.org/0000-0002-9707-799X,,Universidade Estadual Paulista Júlio de Mesquita Filho,47,no info,Universidade Estadual de Campinas,Anderson Rocha,Brazil,Siovani C Felipussi,no info,Aparecido Nilceu Marana,no info,,,,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,Universidade Estadual de Campinas (UNICAMP),José Mario De Martino,no info,,,,Sandra Avila,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,
48,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1062989?guid=1652798058169&returnUrl=%2fresultado%2flistar%3fguid%3d1652798058169%26quantidadePaginas%3d1%26codigoRegistro%3d1062989%231062989&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0001-9756-378X,sem orcid,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-8972-080X,,Federal University of Bahia,48,sem orcid,Universidade Estadual de Campinas,Nelson L. S. da Fonseca,no info,sem orcid,sem orcid,"Figueiredo, G.B.",no info,,,,,,,,,,State University of Campinas,Fábio Usberti,no info,,,,Edmundo Madeira,no info,UNICAMP - University of Campinas,,,,,,,,,,,,,,,,,,,,,,,
49,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1062988?guid=1652798108201&returnUrl=%2fresultado%2flistar%3fguid%3d1652798108201%26quantidadePaginas%3d1%26codigoRegistro%3d1062988%231062988&i=3,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-5243-0921,orcid.org/0000-0003-3861-7260,sem orcid,,University of Campinas,49,no info,Universidade Estadual de Campinas,Anderson Rocha,Brazil,Fernanda Andaló,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,sem orcid,sem orcid,sem orcid,,,,Roberto Hirata Jr.,Brazil,Universidade de São Paulo,,,,,,,,,,,,,,,,,,,,,,,
50,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1063351?guid=1652798156559&returnUrl=%2fresultado%2flistar%3fguid%3d1652798156559%26quantidadePaginas%3d1%26codigoRegistro%3d1063351%231063351&i=2,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-1736-544X,orcid.org/0000-0003-1929-9391,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-3580-5178,,Universidade Federal de São Carlos,50,no info,Universidade Estadual de Campinas,Maria Cecilia Calani Baranauskas,Brazil,Leonardo Cunha de Miranda,Brazil,Luciana Zaina,Brazil,UX design,UX,Agile UX,Agile practices,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,Unicamp,Marcos Augusto Francisco Borges,Brazil,,,,André Santanchè,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,Computational Thinking; Creative Learning; Serious Games; Lean IT; Agile; Entrepeneurship,,,,,
51,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1062788?guid=1652798201329&returnUrl=%2fresultado%2flistar%3fguid%3d1652798201329%26quantidadePaginas%3d1%26codigoRegistro%3d1062788%231062788&i=1,orcid.org/0000-0002-9529-4253,sem orcid,sem orcid,orcid.org/0000-0002-8972-080X,,,sem orcid,51,sem orcid,University of Campinas,Pedro J. de Rezende,no info,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,Fábio Usberti,no info,State University of Campinas,,,,,,,,,,,,,,,,,,,,,,,
52,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1079656?guid=1652798237186&returnUrl=%2fresultado%2flistar%3fguid%3d1652798237186%26quantidadePaginas%3d1%26codigoRegistro%3d1079656%231079656&i=2,orcid.org/0000-0003-1908-4753,sem orcid,sem orcid,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-7603-9695,,sem orcid,52,sem orcid,Universidade Estadual de Campinas Instituto de Computação,Claudia Medeiros,Brazil,sem orcid,sem orcid,sem orcid,sem orcid,,,,,Scientific data management, Data interoperability, Open Science,,,Universidade Estadual de Campinas,Leonardo Montecchi,Norway,,,,Julio Cesar Dos Reis,no info,Universidade Estadual de Campinas (UNICAMP),,,,,,,,,,,,,,,,,,,,,,,
53,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1082977?guid=1652798275762&returnUrl=%2fresultado%2flistar%3fguid%3d1652798275762%26quantidadePaginas%3d1%26codigoRegistro%3d1082977%231082977&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-4929-7258,orcid.org/0000-0003-1574-0362,orcid.org/0000-0001-9772-263X,orcid.org/0000-0001-9319-9829,,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,53,Instituto Tecnológico de Aeronáutica,Universidade Estadual de Campinas,Anderson Rocha,Brazil,Cesar Marcondes,Brazil,Agma Traina,no info,,,,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,Universidade Estadual de Campinas (UNICAMP),Levy Boccato,no info,,,,Ricardo Torres,Netherlands,Universidade Estadual de Campinas,,,,,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,,,data science,,,
