,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador1_filiação,row_idx,avaliador1_nome,avaliador1_país,orientador_nome,orientador_país,avaliador2_filiação,orientador_filiação,orientador_keyword_1,avaliador2_nome,avaliador2_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador2_keyword_5,avaliador1_keyword_6,avaliador2_keyword_6,avaliador2_keyword_7,avaliador1_keyword_7,avaliador1_keyword_8,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador4_keyword_6,avaliador3_keyword_6
42,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1158153?guid=1654270986729&returnUrl=%2fresultado%2flistar%3fguid%3d1654270986729%26quantidadePaginas%3d1%26codigoRegistro%3d1158153%231158153&i=1,orcid.org/0000-0002-0472-4810,orcid.org/0000-0003-0602-6298,orcid.org/0000-0001-6030-2682,,,Universidade Federal do ABC,42,Carla Negri Lintzmayer,Brazil,Rafael C. S. Schouery,no info,University of Campinas,Universidade Estadual de Campinas,,Eduardo C. Xavier,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1162057?guid=1654271012037&returnUrl=%2fresultado%2flistar%3fguid%3d1654271012037%26quantidadePaginas%3d1%26codigoRegistro%3d1162057%231162057&i=1,orcid.org/0000-0003-0467-3133,orcid.org/0000-0003-2944-4476,orcid.org/0000-0002-0689-2703,,,no info,43,Marcos Maximo,no info,Esther Luna Colombini,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,Eric Rohmer,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157544?guid=1654271058882&returnUrl=%2fresultado%2flistar%3fguid%3d1654271058882%26quantidadePaginas%3d1%26codigoRegistro%3d1157544%231157544&i=1,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-8603-699X,sem orcid,,,University of Campinas,44,Juliana Freitag Borin,Brazil,Lucas Wanner,no info,sem orcid,University of Campinas,,sem orcid,sem orcid,Internet of Things, Smart Cities, Computer network protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157501?guid=1654271089421&returnUrl=%2fresultado%2flistar%3fguid%3d1654271089421%26quantidadePaginas%3d1%26codigoRegistro%3d1157501%231157501&i=2,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8597-4987,orcid.org/0000-0001-9319-9829,,,Universidade Federal do ABC,45,Ronaldo Prati,no info,Helio Pedrini,Brazil,Universidade Estadual de Campinas (UNICAMP),University of Campinas,image and video processing; machine learning; computer vision,Levy Boccato,no info,data mining, machine learning, artificial intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1158119?guid=1654271128222&returnUrl=%2fresultado%2flistar%3fguid%3d1654271128222%26quantidadePaginas%3d1%26codigoRegistro%3d1158119%231158119&i=1,orcid.org/0000-0003-4237-4281,orcid.org/0000-0003-4462-3325,sem orcid,sem orcid,,University of Campinas,46,Orlando Lee,no info,C. N. Campos,Brazil,sem orcid,University of Campinas,,sem orcid,sem orcid,,,,,,,,,,,,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
47,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1158115?guid=1654271181844&returnUrl=%2fresultado%2flistar%3fguid%3d1654271181844%26quantidadePaginas%3d1%26codigoRegistro%3d1158115%231158115&i=2,orcid.org/0000-0002-2914-5380,orcid.org/0000-0001-9068-938X,orcid.org/0000-0002-5163-2986,,,Universidade Estadual de Campinas,47,Sandra Avila,no info,Alexandre Falcao,Brazil,Pontifical Catholic University of Goiás,Universidade Estadual de Campinas,image processing,Clarimar Coelho,no info,,,,,, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157707?guid=1654271227297&returnUrl=%2fresultado%2flistar%3fguid%3d1654271227297%26quantidadePaginas%3d1%26codigoRegistro%3d1157707%231157707&i=1,orcid.org/0000-0002-4531-1473,orcid.org/0000-0001-9502-1362,orcid.org/0000-0002-3823-8941,,,UNIRIO,48,Paulo Sérgio Santos,no info,Breno Bernard Nicolau de França,Brazil,University of Campinas,Universidade Estadual de Campinas,Empirical Software Engineering,Luiz Eduardo Buzato,Brazil,,,,,,Continuous Software Engineering,Software Architecture,,,distributed systems,distributed algorithms,fault tolerance,,,,,,,,,,,,,,,,,,,,,,,,,
49,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1161700?guid=1654271260912&returnUrl=%2fresultado%2flistar%3fguid%3d1654271260912%26quantidadePaginas%3d1%26codigoRegistro%3d1161700%231161700&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-1399-7535,orcid.org/0000-0002-6023-5982,,,Universidade de São Paulo,49,Marco Gerosa,United States,Rodolfo Azevedo,Brazil,University of Campinas,UNICAMP,,Islene Calciolari Garcia,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1161854?guid=1654271354940&returnUrl=%2fresultado%2flistar%3fguid%3d1654271354940%26quantidadePaginas%3d1%26codigoRegistro%3d1161854%231161854&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-3948-305X,orcid.org/0000-0002-8972-080X,,,Universidade Federal de São Carlos,50,Reinaldo Morabito,Brazil,Flávio K. Miyazawa,no info,State University of Campinas,no info,,Fábio Usberti,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1161847,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-0524-3274,orcid.org/0000-0003-1783-4231,,,Univesity of Sao Paulo,51,Julio Cezar Estrella,Brazil,Luiz Fernando Bittencourt,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,Edson Borin,no info,Distributed Systems, Cloud Computing, Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1161411?guid=1654271439011&returnUrl=%2fresultado%2flistar%3fguid%3d1654271439011%26quantidadePaginas%3d1%26codigoRegistro%3d1161411%231161411&i=1,orcid.org/0000-0001-9068-938X,orcid.org/0000-0002-8889-1586,orcid.org/0000-0002-1534-5744,,,University of Sheffield,52,Jefersson A. dos Santos,no info,Sandra Avila,no info,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas,,Paula Dornhofer Paro Costa,Brazil,Pattern Recognition, Image Processing, Content-Based Image Retrieval, Remote Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1161410?guid=1654271457517&returnUrl=%2fresultado%2flistar%3fguid%3d1654271457517%26quantidadePaginas%3d1%26codigoRegistro%3d1161410%231161410&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0002-2159-339X,orcid.org/0000-0002-1180-2637,,,no info,53,Edna Dias Canedo,no info,Cecilia Mary Fischer Rubira Rubira,no info,UNICAMP - University of Campinas,no info,,Edmundo Madeira,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1127183?guid=1654271504404&returnUrl=%2fresultado%2flistar%3fguid%3d1654271504404%26quantidadePaginas%3d1%26codigoRegistro%3d1127183%231127183&i=7,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0001-9176-8709,orcid.org/0000-0002-4607-9880,orcid.org/0000-0003-3052-3016,sem orcid,54,sem orcid,sem orcid,Maria Cecilia Calani Baranauskas,Brazil,Universidade de São Paulo Câmpus de São Carlos,Universidade Estadual de Campinas,HCI,Kamila Rios da Hora Rodrigues,no info,,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,Universidade Federal do Paraná,Maria Teresa Eglér Mantoan,Brazil,Universidade Estadual de Campinas,Roberto Pereira,Brazil,,,,,,,Docência e extensão,Direito incondicional de todos os alunos à educação escolar de nível básico e superior de ensino,,,,hci,values in design,socially-aware design,social web,human values in computing technology,computers in education,
55,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1127255?guid=1654271562487&returnUrl=%2fresultado%2flistar%3fguid%3d1654271562487%26quantidadePaginas%3d1%26codigoRegistro%3d1127255%231127255&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-3551-6480,sem orcid,orcid.org/0000-0002-1941-6036,orcid.org/0000-0002-0503-7297,no info,55,Sarajane Marques Peres,no info,Helio Pedrini,Brazil,sem orcid,University of Campinas,image and video processing; machine learning; computer vision,sem orcid,sem orcid,,,,,,,,,,,,,,,Marco Antonio Garcia de Carvalho,Brazil,Universidade Estadual de Campinas,,,,,,,,,image segmentation,graphs,image processing,digital education,pattern recognition,,,,,,,
56,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1128749?guid=1654271594965&returnUrl=%2fresultado%2flistar%3fguid%3d1654271594965%26quantidadePaginas%3d1%26codigoRegistro%3d1128749%231128749&i=1,orcid.org/0000-0002-8972-080X,orcid.org/0000-0003-2823-7600,orcid.org/0000-0001-6476-4534,orcid.org/0000-0002-5263-1977,sem orcid,Universidade de São Paulo,56,Franklina Toledo,no info,Fábio Usberti,no info,Universidade de São Paulo,State University of Campinas,,Mário César San Felice,Brazil,,,,,,,,,,Approximation Algorithms,Facility Location Problems,Network Design Problems,Randomized Algorithms,sem orcid,Christiano Lyra Filho,Brazil,University of Campinas (UNICAMP),sem orcid,sem orcid,Combinatorial Optimization,,Online Algorithms,Competitive Analysis,,,energy systems, opimization, network flows, combinatorial optimization, power systems,,,,,,, comp. intell.
57,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1128991?guid=1654271651577&returnUrl=%2fresultado%2flistar%3fguid%3d1654271651577%26quantidadePaginas%3d1%26codigoRegistro%3d1128991%231128991&i=4,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-9272-3403,sem orcid,orcid.org/0000-0002-5017-8320,orcid.org/0000-0003-4344-1263,Embrapa Agricultura Digital,57,Thiago T. Santos,Brazil,Ricardo Torres,Netherlands,sem orcid,Universidade Estadual de Campinas,multimedia retrieval,sem orcid,sem orcid,computer vision,digital agriculture,phenotyping,SLAM,,multimedia classification,machine learning,information visualization,data science,,,,,Universidade Estadual de Campinas,Gleyce Figueiredo,no info,University of Campinas,Rubens Augusto Camargo Lamparelli,no info,,,,,,,,,,,,,,,,,,
58,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1129107?guid=1654271699505&returnUrl=%2fresultado%2flistar%3fguid%3d1654271699505%26quantidadePaginas%3d1%26codigoRegistro%3d1129107%231129107&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0001-8318-1780,sem orcid,orcid.org/0000-0003-0467-3133,orcid.org/0000-0003-0125-630X,no info,58,Jose F Rodrigues Jr,Brazil,Ricardo Torres,Netherlands,sem orcid,Universidade Estadual de Campinas,multimedia retrieval,sem orcid,sem orcid,information visualization,visualization,infovis,databases,data mining,multimedia classification,machine learning,information visualization,data science,,,,,University of Campinas,Esther Luna Colombini,no info,Universidade Estadual de Campinas,Helio Pedrini,Brazil,,data analysis,,,graph mining,graph analysis,,,,,,image and video processing; machine learning; computer vision,,,,,,
59,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1128968?guid=1654271786990&returnUrl=%2fresultado%2flistar%3fguid%3d1654271786990%26quantidadePaginas%3d1%26codigoRegistro%3d1128968%231128968&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-7860-9575,orcid.org/0000-0003-3589-1619,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-1756-4852,Universidade Federal do Amazonas,59,Edleno Silva de Moura,no info,Ricardo Torres,Netherlands,Universidade Federal do Rio Grande do Sul,Universidade Estadual de Campinas,multimedia retrieval,Renata Galante,no info,,,,,,multimedia classification,machine learning,information visualization,data science,,,,,Universidade Estadual de Campinas,Julio Cesar Dos Reis,no info,Universidade Estadual de Campinas (UNICAMP),André Santanchè,no info,,,,,,,,,,,,,,,,,,
60,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1129183?guid=1654271827193&returnUrl=%2fresultado%2flistar%3fguid%3d1654271827193%26quantidadePaginas%3d1%26codigoRegistro%3d1129183%231129183&i=2,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-6750-5965,orcid.org/0000-0003-1929-9391,orcid.org/0000-0001-5804-950X,sem orcid,Pontifícia Universidade Católica do Rio de Janeiro,60,Laura Sánchez García,no info,Maria Cecilia Calani Baranauskas,Brazil,no info,Universidade Estadual de Campinas,HCI,Leonardo Cunha de Miranda,Brazil,,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,sem orcid,Alysson Prado,no info,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,
61,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1170400?guid=1654271868132&returnUrl=%2fresultado%2flistar%3fguid%3d1654271868132%26quantidadePaginas%3d1%26codigoRegistro%3d1170400%231170400&i=2,orcid.org/0000-0002-4236-8212,sem orcid,orcid.org/0000-0002-6494-7514,orcid.org/0000-0002-1724-9780,orcid.org/0000-0002-7645-7758,sem orcid,61,sem orcid,sem orcid,Anderson Rocha,Brazil,no info,Universidade Estadual de Campinas,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,João Paulo Papa,no info,,,,,,,,,,machine learning, image processing, computervision, meta-heuristics,no info,Alessandra Davólio Gomes,Brazil,Universidade Estadual de Campinas,Andre Fioravanti,Brazil,,,,,,,4D seismic,Reservoir geophysics,Quantitative interpretation,Reservoir simulation,Seismic history matching,Dynamic Systems; Convex Optimization,,,,,,
62,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1149269?guid=1654271922150&returnUrl=%2fresultado%2flistar%3fguid%3d1654271922150%26quantidadePaginas%3d1%26codigoRegistro%3d1149269%231149269&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0001-6816-208X,orcid.org/0000-0002-5591-3750,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-9068-938X,no info,62,Kalinka Branco,no info,Edson Borin,no info,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Universidade Estadual de Campinas,,Jo Ueyama,no info,,,,,,,,,,,,,,Universidade Estadual de Campinas,Edmundo Madeira,no info,UNICAMP - University of Campinas,Sandra Avila,no info,,,,,,,,,,,,,,,,,,
63,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1149098?guid=1654271988742&returnUrl=%2fresultado%2flistar%3fguid%3d1654271988742%26quantidadePaginas%3d1%26codigoRegistro%3d1149098%231149098&i=3,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-9992-8540,orcid.org/0000-0001-8824-3055,orcid.org/0000-0003-1140-4513,sem orcid,Inria Centre de Recherche Grenoble Rhone-Alpes,63,Márcio Castro,Brazil,Guido Araujo,no info,"Universidade Estadual Paulista, Instituto de Geociências e Ciências Exatas",Universidade Estadual de Campinas,,Alexandro Baldassin,Brazil,Parallel and Distributed Computing,High Performance Computing,Parallel Architectures,Parallel Programming Languages,,,,,,Computer architecture,Parallel Programming,Transactional Memory,Persistent Memory,sem orcid,Marcio M. Pereira,Brazil,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,
64,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1157394?guid=1654272021275&returnUrl=%2fresultado%2flistar%3fguid%3d1654272021275%26quantidadePaginas%3d1%26codigoRegistro%3d1157394%231157394&i=3,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0003-3308-6384,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-7266-9211,sem orcid,64,sem orcid,sem orcid,Ricardo Torres,Netherlands,Universidade Federal de Viçosa,Universidade Estadual de Campinas,multimedia retrieval,Keiller Nogueira,Brazil,,,,,,multimedia classification,machine learning,information visualization,data science,pattern recognition,image understading,image annotation,image segmentation,Newcastle University,Helio Pedrini,Brazil,University of Campinas,Marcos Cirne,no info,machine learning,,deep learning,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,
65,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1157685?guid=1654272083291&returnUrl=%2fresultado%2flistar%3fguid%3d1654272083291%26quantidadePaginas%3d1%26codigoRegistro%3d1157685%231157685&i=4,orcid.org/0000-0002-3372-3366,orcid.org/0000-0001-9448-2036,orcid.org/0000-0002-6023-5982,orcid.org/0000-0001-6994-8076,,University of Ottawa,65,Robson De Grande,Canada,Leandro Villas,Brazil,University of Campinas,Universidade Estadual de Campinas,,Islene Calciolari Garcia,no info,,,,,,,,,,,,,,,Thiago Henrique Silva,Brazil,Federal University of Technology – Paraná,,,,,,,,,Data Mining, Machine  Learning, Social Networks, Urban Computing,,,,,,,,
66,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1157496?guid=1654272122970&returnUrl=%2fresultado%2flistar%3fguid%3d1654272122970%26quantidadePaginas%3d1%26codigoRegistro%3d1157496%231157496&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-4187-8798,orcid.org/0000-0002-7779-1950,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-9104-613X,Universidade Federal de Juiz de Fora,66,Rodrigo Luis de Souza da Silva,Brazil,Helio Pedrini,Brazil,Instituto Federal de Educação Ciência e Tecnologia de São Paulo,University of Campinas,image and video processing; machine learning; computer vision,Tiago Carvalho,Brazil,,,,,,,,,,,,,,no info,Esther Luna Colombini,no info,Universidade Estadual de Campinas,Tiago Fernandes Tavares,Brazil,,,,,,,,,,,,Music Information Retrieval,New Interfaces for Musical Expression,Digital Signal Processing,,,,
67,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1161648?guid=1654272166254&returnUrl=%2fresultado%2flistar%3fguid%3d1654272166254%26quantidadePaginas%3d1%26codigoRegistro%3d1161648%231161648&i=2,orcid.org/0000-0002-2914-5380,sem orcid,sem orcid,sem orcid,orcid.org/0000-0001-9772-263X,sem orcid,67,sem orcid,sem orcid,Alexandre Falcao,Brazil,sem orcid,Universidade Estadual de Campinas,image processing,sem orcid,sem orcid,,,,,, visualization, and analysis, (interactive) machine learning ,,,,,,Universidade Estadual de Campinas,sem orcid,sem orcid,sem orcid,Ricardo Torres,Netherlands,,,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,
68,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1161434?guid=1654272213266&returnUrl=%2fresultado%2flistar%3fguid%3d1654272213266%26quantidadePaginas%3d1%26codigoRegistro%3d1161434%231161434&i=2,orcid.org/0000-0001-8309-6367,orcid.org/0000-0003-2111-1319,orcid.org/0000-0002-7270-1477,orcid.org/0000-0001-8923-0432,orcid.org/0000-0002-9545-2098,University of São Paulo,68,"Pardo, T.A.S.",Brazil,Ariadne Carvalho,no info,no info,Universidade Estadual de Campinas,,Ivandré Paraboni,no info,,,,,,,,,,,,,,Universidade Estadual de Campinas (UNICAMP),Tomasz Kowaltowski,no info,no info,Julio Cesar Dos Reis,no info,,,,,,,,,,,,,,,,,,
