tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,orientador_filiação,row_idx,orientador_nome,orientador_país,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador1_filiação,avaliador4_filiação,avaliador5_filiação,avaliador3_nome,avaliador3_país,avaliador6_nome,avaliador6_país,avaliador5_nome,avaliador5_país,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador6_filiação,avaliador2_keyword_3,avaliador2_keyword_4,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,ano,orientador_keyword_5,orientador_keyword_6,avaliador6_keyword_1,avaliador6_keyword_2,avaliador6_keyword_3,avaliador6_keyword_4,avaliador3_keyword_4,avaliador3_keyword_5,avaliador1_keyword_6,avaliador4_keyword_6,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador2_keyword_9,avaliador2_keyword_10,avaliador2_keyword_11,avaliador2_keyword_12,avaliador2_keyword_13,avaliador1_keyword_7,avaliador6_keyword_5,avaliador1_keyword_8,avaliador1_keyword_9,avaliador1_keyword_10,avaliador1_keyword_11,avaliador3_keyword_6,avaliador4_keyword_7,avaliador3_keyword_7,avaliador5_keyword_1,avaliador5_keyword_2,avaliador5_keyword_3,avaliador5_keyword_4,avaliador3_keyword_8,avaliador3_keyword_9,avaliador3_keyword_10,avaliador3_keyword_11,avaliador3_keyword_12,avaliador3_keyword_13,orientador_genero,avaliador1_genero,avaliador2_genero,avaliador3_genero,avaliador4_genero,avaliador5_genero,avaliador6_genero
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/445242?guid=1652142073024&returnUrl=%2fresultado%2flistar%3fguid%3d1652142073024%26quantidadePaginas%3d1%26codigoRegistro%3d445242%23445242&i=1,orcid.org/0000-0002-6540-8686,sem orcid,orcid.org/0000-0002-6023-5982,,,,,University of Campinas,1,Paulo de Geus,Brazil,University of Campinas,sem orcid,sem orcid,Islene Calciolari Garcia,no info,,,Computer Security,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467433?guid=1652142198678&returnUrl=%2fresultado%2flistar%3fguid%3d1652142198678%26quantidadePaginas%3d1%26codigoRegistro%3d467433%23467433&i=13,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-6731-1482,,,,,,University of Campinas,2,Ricardo Dahab,Brazil,,Julio Cesar Lopez Hernandez,Mexico,,,,,Cryptography, Graph Theory,,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444627?guid=1652142260410&returnUrl=%2fresultado%2flistar%3fguid%3d1652142260410%26quantidadePaginas%3d1%26codigoRegistro%3d444627%23444627&i=1,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0003-0125-630X,,,,,Universidade Estadual de Campinas,3,Ricardo Torres,Netherlands,University of Campinas,sem orcid,sem orcid,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,multimedia retrieval,multimedia classification,machine learning,information visualization,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/446556?guid=1652142326357&returnUrl=%2fresultado%2flistar%3fguid%3d1652142326357%26quantidadePaginas%3d1%26codigoRegistro%3d446556%23446556&i=1,sem orcid,orcid.org/0000-0001-6112-892X,sem orcid,,,,,sem orcid,4,sem orcid,sem orcid,sem orcid,Celmar Guimarães da Silva,Brazil,sem orcid,sem orcid,,,,,,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,Information Visualization; Human-Computer Interaction,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sem orcid,Masculino,sem orcid,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444849?guid=1652142366158&returnUrl=%2fresultado%2flistar%3fguid%3d1652142366158%26quantidadePaginas%3d1%26codigoRegistro%3d444849%23444849&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0001-5685-8004,,,,,University of Campinas,5,Ricardo Dahab,Brazil,no info,sem orcid,sem orcid,Siome Goldenstein,no info,,,Cryptography, Graph Theory,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444929?guid=1652142409366&returnUrl=%2fresultado%2flistar%3fguid%3d1652142409366%26quantidadePaginas%3d1%26codigoRegistro%3d444929%23444929&i=1,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0002-2914-5380,,,,,Universidade Estadual de Campinas,6,Ricardo Torres,Netherlands,Universidade Estadual de Campinas,sem orcid,sem orcid,Alexandre Falcao,Brazil,image processing, visualization,multimedia retrieval,multimedia classification,machine learning,information visualization,sem orcid,,,,,,,,,,,,, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,2009,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444926?guid=1652142578185&returnUrl=%2fresultado%2flistar%3fguid%3d1652142578185%26quantidadePaginas%3d1%26codigoRegistro%3d444926%23444926&i=1,orcid.org/0000-0003-0683-7672,sem orcid,orcid.org/0000-0002-2914-5380,,,,,no info,7,Anamaria Gomide,no info,Universidade Estadual de Campinas,sem orcid,sem orcid,Alexandre Falcao,Brazil,image processing, visualization,,,,,sem orcid,,,,,,,,,,,,, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444918?guid=1652142700927&returnUrl=%2fresultado%2flistar%3fguid%3d1652142700927%26quantidadePaginas%3d1%26codigoRegistro%3d444918%23444918&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0003-0125-630X,,,,,Universidade Estadual de Campinas,8,Alexandre Falcao,Brazil,University of Campinas,sem orcid,sem orcid,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,image processing, visualization, and analysis, (interactive) machine learning ,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444922?guid=1652142751653&returnUrl=%2fresultado%2flistar%3fguid%3d1652142751653%26quantidadePaginas%3d1%26codigoRegistro%3d444922%23444922&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-6731-1482,,,,,University of Campinas,9,Ricardo Dahab,Brazil,no info,sem orcid,sem orcid,Julio Cesar Lopez Hernandez,Mexico,,,Cryptography, Graph Theory,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444843?guid=1652142806139&returnUrl=%2fresultado%2flistar%3fguid%3d1652142806139%26quantidadePaginas%3d1%26codigoRegistro%3d444843%23444843&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0001-7309-4528,orcid.org/0000-0001-5685-8004,,,,,no info,10,Jacques Wainer,Brazil,no info,Anna H Reali Costa,Brazil,Siome Goldenstein,no info,,,,,,,Universidade de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Feminino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444531?guid=1652142858756&returnUrl=%2fresultado%2flistar%3fguid%3d1652142858756%26quantidadePaginas%3d1%26codigoRegistro%3d444531%23444531&i=1,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0003-0683-7672,,,,,Universidade Estadual de Campinas,11,Maria Cecilia Calani Baranauskas,Brazil,no info,sem orcid,sem orcid,Anamaria Gomide,no info,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,sem orcid,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/445010?guid=1652142922502&returnUrl=%2fresultado%2flistar%3fguid%3d1652142922502%26quantidadePaginas%3d1%26codigoRegistro%3d445010%23445010&i=1,orcid.org/0000-0002-4830-5298,sem orcid,sem orcid,,,,,Universidade Estadual de Campinas,12,Maria Cecilia Calani Baranauskas,Brazil,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,sem orcid,sem orcid,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/448093?guid=1652143134631&returnUrl=%2fresultado%2flistar%3fguid%3d1652143134631%26quantidadePaginas%3d1%26codigoRegistro%3d448093%23448093&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0003-4290-6508,,,,,Universidade Estadual de Campinas Instituto de Computação,13,Claudia Medeiros,Brazil,no info,sem orcid,sem orcid,Eliane Martins,no info,,,Scientific data management, Data interoperability, Open Science,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,sem orcid,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467483?guid=1652143269242&returnUrl=%2fresultado%2flistar%3fguid%3d1652143269242%26quantidadePaginas%3d1%26codigoRegistro%3d467483%23467483&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0002-7002-875X,,,,,no info,14,Eliane Martins,no info,University of Campinas,sem orcid,sem orcid,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467464?guid=1652145151925&returnUrl=%2fresultado%2flistar%3fguid%3d1652145151925%26quantidadePaginas%3d1%26codigoRegistro%3d467464%23467464&i=1,orcid.org/0000-0001-5201-1244,sem orcid,orcid.org/0000-0001-8309-6367,,,,,no info,15,Jacques Wainer,Brazil,Universidade Estadual de Campinas,sem orcid,sem orcid,Ariadne Carvalho,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/448924?guid=1652145191220&returnUrl=%2fresultado%2flistar%3fguid%3d1652145191220%26quantidadePaginas%3d1%26codigoRegistro%3d448924%23448924&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-1180-2637,,,,,Universidade Estadual de Campinas Instituto de Computação,16,Claudia Medeiros,Brazil,UNICAMP - University of Campinas,André Santanchè,no info,Edmundo Madeira,no info,,,Scientific data management, Data interoperability, Open Science,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467451?guid=1652145354940&returnUrl=%2fresultado%2flistar%3fguid%3d1652145354940%26quantidadePaginas%3d1%26codigoRegistro%3d467451%23467451&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0002-6023-5982,,,,,UNICAMP - University of Campinas,17,Edmundo Madeira,no info,University of Campinas,sem orcid,sem orcid,Islene Calciolari Garcia,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/794398?guid=1652145397234&returnUrl=%2fresultado%2flistar%3fguid%3d1652145397234%26quantidadePaginas%3d1%26codigoRegistro%3d794398%23794398&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0003-4890-1548,sem orcid,,,,,Universidade Estadual de Campinas Instituto de Computação,18,Claudia Medeiros,Brazil,sem orcid,"Digiampietri, L.A. ; Digiampietri, L. ; Digiampietri, Luciano ; Digiampietri, Luciano Antonio",Brazil,sem orcid,sem orcid,,,Scientific data management, Data interoperability, Open Science,,Universidade de São Paulo,,,,,,,,,,,,,,, Bioinformatics, Workflow Management,Social Network Analysis,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,Masculino,sem orcid,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/466855?guid=1652145434510&returnUrl=%2fresultado%2flistar%3fguid%3d1652145434510%26quantidadePaginas%3d1%26codigoRegistro%3d466855%23466855&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0002-3159-4839,sem orcid,,,,,no info,19,Siome Goldenstein,no info,sem orcid,Jorge Stolfi,no info,sem orcid,sem orcid,,,,,,,State University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,sem orcid,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/474915?guid=1652145468783&returnUrl=%2fresultado%2flistar%3fguid%3d1652145468783%26quantidadePaginas%3d1%26codigoRegistro%3d474915%23474915&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0001-5201-1244,,,,,UNICAMP - University of Campinas,20,Edmundo Madeira,no info,no info,sem orcid,sem orcid,Jacques Wainer,Brazil,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/772061?guid=1652145495707&returnUrl=%2fresultado%2flistar%3fguid%3d1652145495707%26quantidadePaginas%3d1%26codigoRegistro%3d772061%23772061&i=1,sem orcid,sem orcid,orcid.org/0000-0002-6023-5982,,,,,sem orcid,21,sem orcid,sem orcid,University of Campinas,sem orcid,sem orcid,Islene Calciolari Garcia,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sem orcid,sem orcid,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477497?guid=1652145554072&returnUrl=%2fresultado%2flistar%3fguid%3d1652145554072%26quantidadePaginas%3d1%26codigoRegistro%3d477497%23477497&i=1,orcid.org/0000-0002-5945-0845,orcid.org/0000-0003-4804-5788,orcid.org/0000-0002-1067-6421,,,,,Universidade Estadual de Campinas,22,Cid de Souza,Brazil,no info,Carlos Ferreira,no info,Flávio K. Miyazawa,no info,,,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,University of São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/474868?guid=1652145643622&returnUrl=%2fresultado%2flistar%3fguid%3d1652145643622%26quantidadePaginas%3d1%26codigoRegistro%3d474868%23474868&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0002-8803-0401,,,,,Universidade Estadual de Campinas Instituto de Computação,23,Claudia Medeiros,Brazil,UNICAMP,sem orcid,sem orcid,Rodolfo Azevedo,Brazil,,,Scientific data management, Data interoperability, Open Science,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/478297?guid=1652145698137&returnUrl=%2fresultado%2flistar%3fguid%3d1652145698137%26quantidadePaginas%3d1%26codigoRegistro%3d478297%23478297&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-3692-2202,orcid.org/0000-0003-1908-4753,,,,,no info,24,Cecilia Mary Fischer Rubira Rubira,no info,Universidade Estadual de Campinas Instituto de Computação,Delano Beder,no info,Claudia Medeiros,Brazil,Scientific data management, Data interoperability,,,,,no info,,,,,,,,,,,,, Open Science,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,Masculino,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477393?guid=1652145767368&returnUrl=%2fresultado%2flistar%3fguid%3d1652145767368%26quantidadePaginas%3d1%26codigoRegistro%3d477393%23477393&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-4890-1548,sem orcid,,,,,Universidade Estadual de Campinas,25,Ricardo Torres,Netherlands,sem orcid,"Digiampietri, L.A. ; Digiampietri, L. ; Digiampietri, Luciano ; Digiampietri, Luciano Antonio",Brazil,sem orcid,sem orcid,,,multimedia retrieval,multimedia classification,machine learning,information visualization,Universidade de São Paulo,,,,,,,,,,,,,,, Bioinformatics, Workflow Management,Social Network Analysis,,,,,,,,,,,,2009,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,sem orcid,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477491?guid=1652145910333&returnUrl=%2fresultado%2flistar%3fguid%3d1652145910333%26quantidadePaginas%3d1%26codigoRegistro%3d477491%23477491&i=1,orcid.org/0000-0002-8856-194X,orcid.org/0000-0001-5201-1244,sem orcid,,,,,University of Campinas,26,Ricardo Anido,Brazil,sem orcid,Jacques Wainer,Brazil,sem orcid,sem orcid,,,,,,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,sem orcid,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477357?guid=1652145951375&returnUrl=%2fresultado%2flistar%3fguid%3d1652145951375%26quantidadePaginas%3d1%26codigoRegistro%3d477357%23477357&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-7002-875X,,,,,Universidade Estadual de Campinas,27,Guido Araujo,no info,University of Campinas,sem orcid,sem orcid,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/773938?guid=1652145994015&returnUrl=%2fresultado%2flistar%3fguid%3d1652145994015%26quantidadePaginas%3d1%26codigoRegistro%3d773938%23773938&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0003-4462-3325,sem orcid,,,,,no info,28,Flávio K. Miyazawa,no info,sem orcid,Orlando Lee,no info,sem orcid,sem orcid,,,,,,,University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,sem orcid,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477324?guid=1652146041903&returnUrl=%2fresultado%2flistar%3fguid%3d1652146041903%26quantidadePaginas%3d1%26codigoRegistro%3d477324%23477324&i=1,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0002-9539-6874,,,,,UNICAMP,29,Rodolfo Azevedo,Brazil,Universidade Estadual de Campinas,sem orcid,sem orcid,Sandro Rigo,Brazil,Computer Architecture,Compilers,,,,,sem orcid,,,,,,,,,,,,,Code Optimization,High-Performance Computing,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/476755?guid=1652146084222&returnUrl=%2fresultado%2flistar%3fguid%3d1652146084222%26quantidadePaginas%3d1%26codigoRegistro%3d476755%23476755&i=4,orcid.org/0000-0002-6540-8686,orcid.org/0000-0002-5861-4414,orcid.org/0000-0002-1180-2637,,,,,University of Campinas,30,Paulo de Geus,Brazil,UNICAMP - University of Campinas,ALDRI LUIZ DOS SANTOS,Brazil,Edmundo Madeira,no info,,,Computer Security,,,,Federal University of Minas Gerais,,,,,,,,,,,,,,,Network Management,Network Security,Dependability,Networking,Intelligent Systems,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477402?guid=1652146149005&returnUrl=%2fresultado%2flistar%3fguid%3d1652146149005%26quantidadePaginas%3d1%26codigoRegistro%3d477402%23477402&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,,,,no info,31,Cecilia Mary Fischer Rubira Rubira,no info,no info,sem orcid,sem orcid,Eliane Martins,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,sem orcid,Feminino,não anotado,não anotado,não anotado,não anotado
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/436270?guid=1652146188086&returnUrl=%2fresultado%2flistar%3fguid%3d1652146188086%26quantidadePaginas%3d1%26codigoRegistro%3d436270%23436270&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0003-4861-7061,orcid.org/0000-0003-3861-7260,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,,,no info,32,Neucimar Leite,no info,Universidade de São Paulo,Aparecido Nilceu Marana,no info,Roberto Hirata Jr.,Brazil,,,,,,,Universidade Estadual Paulista Júlio de Mesquita Filho,University of Campinas,,Alexandre Falcao,Brazil,,,,,Universidade Estadual de Campinas,Helio Pedrini,Brazil,,,,,,,,,,image processing, visualization, and analysis,image and video processing; machine learning; computer vision,,,,,2009,,,,,,, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Masculino,Masculino,Masculino,não anotado,não anotado
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/437602?guid=1652146232865&returnUrl=%2fresultado%2flistar%3fguid%3d1652146232865%26quantidadePaginas%3d1%26codigoRegistro%3d437602%23437602&i=1,orcid.org/0000-0001-5685-8004,sem orcid,orcid.org/0000-0001-5203-4366,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-5652-0852,,,no info,33,Siome Goldenstein,no info,no info,sem orcid,sem orcid,Luciano da Fontoura Costa,no info,,,,,,,sem orcid,Universidade Estadual de Campinas,,Ricardo Dahab,Brazil,,,,,University of Campinas,Roberto Lotufo,no info,,,,,,,,,,Cryptography, Graph Theory,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,Masculino,Masculino,não anotado,não anotado
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/774049?guid=1652146274036&returnUrl=%2fresultado%2flistar%3fguid%3d1652146274036%26quantidadePaginas%3d1%26codigoRegistro%3d774049%23774049&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0001-9625-5259,orcid.org/0000-0003-4290-6508,orcid.org/0000-0002-8856-194X,sem orcid,,,no info,34,Cecilia Mary Fischer Rubira Rubira,no info,no info,Itana Gimenes,Brazil,Eliane Martins,no info,,,,,,,Universidade Estadual de Maringá,sem orcid,,Ricardo Anido,Brazil,,,,,University of Campinas,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,Feminino,Feminino,Masculino,sem orcid,não anotado,não anotado
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/777601?guid=1652146319647&returnUrl=%2fresultado%2flistar%3fguid%3d1652146319647%26quantidadePaginas%3d1%26codigoRegistro%3d777601%23777601&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-8515-0582,sem orcid,orcid.org/0000-0002-1067-6421,,Universidade Estadual de Campinas,35,Nelson L. S. da Fonseca,no info,UNICAMP - University of Campinas,sem orcid,sem orcid,Edmundo Madeira,no info,,,,,,,sem orcid,sem orcid,no info,Helio Waldman,no info,,,Flávio K. Miyazawa,no info,Universidade Estadual de Campinas,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,Masculino,sem orcid,Masculino,não anotado
